Date,Close,High,Low,Open,Volume,Stock
04-06-2024,1483.150024,1559,1454,1557,44765620,HDFCBANK.NS
05-06-2024,1551.800049,1559.599976,1482.349976,1494.050049,40815825,HDFCBANK.NS
06-06-2024,1559.699951,1565.449951,1546.599976,1564.900024,23211435,HDFCBANK.NS
07-06-2024,1573.349976,1584.349976,1552.050049,1561.050049,18356108,HDFCBANK.NS
10-06-2024,1561.300049,1580.650024,1557.599976,1574,11227029,HDFCBANK.NS
11-06-2024,1564.800049,1571,1552.199951,1556,14772663,HDFCBANK.NS
12-06-2024,1574.150024,1588.300049,1566.400024,1575,19640218,HDFCBANK.NS
13-06-2024,1580.75,1585.699951,1574,1581.75,12060096,HDFCBANK.NS
14-06-2024,1596.900024,1599,1577.699951,1584,12770277,HDFCBANK.NS
18-06-2024,1607.800049,1610.5,1589.449951,1596.900024,16207857,HDFCBANK.NS
19-06-2024,1657.849976,1669.900024,1604,1613.400024,45065598,HDFCBANK.NS
20-06-2024,1669.349976,1681.449951,1652,1669.800049,20704371,HDFCBANK.NS
21-06-2024,1665.75,1672.849976,1643.150024,1672.849976,25815388,HDFCBANK.NS
24-06-2024,1672.400024,1675.099976,1645.75,1647,14272497,HDFCBANK.NS
25-06-2024,1711.349976,1716.949951,1671.099976,1671.099976,37260774,HDFCBANK.NS
26-06-2024,1701.5,1710.900024,1691.099976,1707.949951,23798333,HDFCBANK.NS
27-06-2024,1696.150024,1713,1686.599976,1696.099976,27537325,HDFCBANK.NS
28-06-2024,1683.800049,1706.599976,1679,1697.599976,13238023,HDFCBANK.NS
01-07-2024,1705.199951,1707.300049,1680,1680,10593512,HDFCBANK.NS
02-07-2024,1730.599976,1734.900024,1702.75,1715,22960845,HDFCBANK.NS
03-07-2024,1768.650024,1794,1764.650024,1791,61608901,HDFCBANK.NS
04-07-2024,1727.150024,1759.75,1724.849976,1759.75,22924329,HDFCBANK.NS
05-07-2024,1648.099976,1685,1642.199951,1685,41121274,HDFCBANK.NS
08-07-2024,1635.349976,1654.949951,1627.150024,1645.300049,19543900,HDFCBANK.NS
09-07-2024,1636.5,1646.699951,1620.349976,1625,24275439,HDFCBANK.NS
10-07-2024,1626.099976,1640,1620.75,1629.949951,22753591,HDFCBANK.NS
11-07-2024,1621.900024,1625.849976,1601,1623.949951,22088537,HDFCBANK.NS
12-07-2024,1622.699951,1638.400024,1611.150024,1622,28024980,HDFCBANK.NS
15-07-2024,1622.099976,1629.800049,1615.199951,1623.5,16687847,HDFCBANK.NS
16-07-2024,1619.75,1627,1616.800049,1620.75,14475162,HDFCBANK.NS
18-07-2024,1614.800049,1623.949951,1599.150024,1608,16858532,HDFCBANK.NS
19-07-2024,1607.300049,1623,1603.5,1616,13001076,HDFCBANK.NS
22-07-2024,1642.550049,1651,1612.650024,1617,26872411,HDFCBANK.NS
23-07-2024,1618.400024,1647.800049,1605,1647.550049,26001076,HDFCBANK.NS
24-07-2024,1604.050049,1621,1588.050049,1608.150024,30864103,HDFCBANK.NS
25-07-2024,1616.599976,1625,1593,1593,12767866,HDFCBANK.NS
26-07-2024,1618.150024,1621.75,1596.449951,1605,21905270,HDFCBANK.NS
29-07-2024,1605.050049,1631.849976,1598.300049,1615,25500574,HDFCBANK.NS
30-07-2024,1615.550049,1634.75,1599,1602,27297917,HDFCBANK.NS
31-07-2024,1615.75,1627.900024,1609.199951,1614,18910242,HDFCBANK.NS
01-08-2024,1638.800049,1650.050049,1617.949951,1622.900024,13107587,HDFCBANK.NS
02-08-2024,1659.150024,1670.5,1631,1631,22059619,HDFCBANK.NS
05-08-2024,1615.75,1646,1601,1640.099976,20666817,HDFCBANK.NS
06-08-2024,1601.199951,1632.949951,1593.300049,1630,22558025,HDFCBANK.NS
07-08-2024,1623.5,1630,1602.199951,1617,21173132,HDFCBANK.NS
08-08-2024,1642.699951,1653.300049,1619.25,1624,16988475,HDFCBANK.NS
09-08-2024,1650.199951,1662.550049,1645.800049,1652,13322309,HDFCBANK.NS
12-08-2024,1660.099976,1675.949951,1647.349976,1652,19658098,HDFCBANK.NS
13-08-2024,1603.199951,1632.400024,1601.150024,1628,27027521,HDFCBANK.NS
14-08-2024,1607.800049,1613.699951,1603.199951,1606.5,16167214,HDFCBANK.NS
16-08-2024,1632.099976,1634.150024,1611,1628.5,13924623,HDFCBANK.NS
19-08-2024,1631.550049,1637.650024,1623.699951,1637.650024,9751082,HDFCBANK.NS
